sample_name	run	year_uid	uid	curid	year	date	col_area	valley_position	sex	age	ageclass	massjun	massaug	mgr	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	strain	*isol_growth_condt
UDX0068	2	2019_8943_8950	8943_8950	8943_8950	2019	25-Aug-19	rvannex	DV	F	1	Y	804.5855607	2145.442581	17.64285553	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0069	2	2019_8891_8967	8891_8967	8891_8967	2019	1-Jul-19	gothictown	DV	F	0	P	336.7602715	1615.13781	16.82075709	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0070	2	2019_8723_8594	8723_8594	8723_8594	2019	7-Jul-19	gothictown	DV	F	0	P	447.062065	1726.083842	16.82923391	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0071	2	2019_8891_8967	8891_8967	8891_8967	2019	21-Jul-19	gothictown	DV	F	0	P	336.7602715	1615.13781	16.82075709	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0072	2	2019_8930_8938	8930_8938	8930_8938	2019	18-Jul-19	gothictown	DV	F	0	P	296.0197975	1745.101732	19.06686756	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0073	2	2019_8932_8946	8932_8946	8932_8946	2019	18-Jul-19	gothictown	DV	F	0	P	337.7544985	1504.821415	15.35614364	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0074	2	2019_8930_8938	8930_8938	8930_8938	2019	19-Aug-19	gothictown	DV	F	0	P	296.0197975	1745.101732	19.06686756	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0075	2	2019_8932_8946	8932_8946	8932_8946	2019	20-Aug-19	gothictown	DV	F	0	P	337.7544985	1504.821415	15.35614364	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0076	2	2019_8429_8725	8429_8725	8429_8725	2019	5-Aug-19	gothictown	DV	F	0	P	511.3359175	1563.035445	13.83815168	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0077	2	2019_8429_8725	8429_8725	8429_8725	2019	19-Aug-19	gothictown	DV	F	0	P	511.3359175	1563.035445	13.83815168	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0078	2	2019_8438_8426	8438_8426	8438_8426	2019	5-Aug-19	gothictown	DV	F	0	P	461.5649163	1435.455527	12.81435014	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0079	2	2019_8438_8426	8438_8426	8438_8426	2019	26-Aug-19	gothictown	DV	F	0	P	461.5649163	1435.455527	12.81435014	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0080	2	2019_8723_8594	8723_8594	8723_8594	2019	23-Aug-19	gothictown	DV	F	0	P	447.062065	1726.083842	16.82923391	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0081	2	2015_7131_7126	7131_7126	7131_7126	2015	9-Jul-15	picnic_lower	UV	F	3	A	2337.438442	2972.566291	8.356945382	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0082	2	2015_7289_6695	7289_6695	7289_6695	2015	9-Jun-15	picnic_lower	UV	F	2	A	1726.365958	2762.634453	13.63511178	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0083	2	2015_7131_7126	7131_7126	7131_7126	2015	23-Jul-15	picnic_lower	UV	F	3	A	2337.438442	2972.566291	8.356945382	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0084	2	2015_7376_7578	7376_7578	7376_7578	2015	2-Jul-15	mm_maintalus	UV	F	1	Y	1338.908865	2988.895878	21.71035543	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0085	2	2015_7604_7648	7604_7648	7604_7648	2015	24-Jul-15	northpk	UV	F	2	A	2385.795787	3017.937548	8.31765475	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0086	2	2015_7407_7412	7407_7412	7407_7412	2015	4-Jun-15	cliff_upper	UV	F	2	A	2582.310424	3231.692417	8.544499908	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0218	2	2015_7277_6678	7277_6678	7277_6678	2015	23-Jun-15	picnic_lower	UV	F	2	A	2049.88754	2823.184883	10.17496504	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0088	2	2015_6127_7339	6127_7339	6127_7339	2015	22-Jun-15	picnic_lower	UV	F	3	A	2753.742368	3539.531463	10.3393302	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0089	2	2015_7310_7303	7310_7303	7310_7303	2015	15-Jul-15	gothictown	DV	F	1	Y	1426.13764	2828.402507	18.45085351	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0090	2	2015_6127_7339	6127_7339	6127_7339	2015	9-Jul-15	picnic_lower	UV	F	3	A	2753.742368	3539.531463	10.3393302	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0091	2	2015_7376_7578	7376_7578	7376_7578	2015	22-Jul-15	mm_maintalus	UV	F	1	Y	1338.908865	2988.895878	21.71035543	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0092	2	2015_7604_7648	7604_7648	7604_7648	2015	12-Jun-15	northpk	UV	F	2	A	2385.795787	3017.937548	8.31765475	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0093	2	2015_7289_6695	7289_6695	7289_6695	2015	23-Jul-15	picnic_lower	UV	F	2	A	1726.365958	2762.634453	13.63511178	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0094	2	2015_7565_7355	7565_7355	7565_7355	2015	29-May-15	picnic_lower	UV	F	1	Y	1067.607149	2652.198536	20.84988667	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0219	2	2015_7565_7355	7565_7355	7565_7355	2015	22-Jul-15	picnic_lower	UV	F	1	Y	1067.607149	2652.198536	20.84988667	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0220	2	2015_7277_6678	7277_6678	7277_6678	2015	28-May-15	picnic_lower	UV	F	2	A	2049.88754	2823.184883	10.17496504	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0097	2	2015_7407_7412	7407_7412	7407_7412	2015	30-Jun-15	cliff_upper	UV	F	2	A	2582.310424	3231.692417	8.544499908	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0098	2	2015_6647_6634	6647_6634	6647_6634	2015	20-Jul-15	picnic_lower	UV	F	2	A	2012.064477	2546.375288	7.030405408	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0099	2	2015_6647_6634	6647_6634	6647_6634	2015	23-Jun-15	picnic_lower	UV	F	2	A	2012.064477	2546.375288	7.030405408	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0100	2	2016_8131_8133	8131_8133	8131_8133	2016	17-Jul-16	gothictown	DV	F	0	P	302.1651413	1130.21308	10.89536761	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0101	2	2016_7880_7885	7880_7885	7880_7885	2016	5-Jun-16	gothictown	DV	F	2	A	2275.385216	2943.368998	8.789260289	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0102	2	2016_8007_8008	8007_8008	8007_8008	2016	27-Jul-16	picnic_lower	UV	F	1	Y	471.801394	1796.261508	17.42710676	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0103	2	2016_8005_8009	8005_8009	8005_8009	2016	10-Jun-16	gothictown	DV	F	2	A	2662.280672	3530.342843	11.42187067	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0104	2	2016_7798_7799	7798_7799	7798_7799	2016	16-Jun-16	picnic_lower	UV	F	1	Y	934.7120706	2596.523228	21.86593628	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0105	2	2016_7798_7799	7798_7799	7798_7799	2016	12-Jul-16	picnic_lower	UV	F	1	Y	934.7120706	2596.523228	21.86593628	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0106	2	2016_7407_7412	7407_7412	7407_7412	2016	27-Jun-16	cliff_upper	UV	F	3	A	2654.394658	3062.118713	5.364790197	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0107	2	2016_7783_7793	7783_7793	7783_7793	2016	13-Jul-16	picnic_lower	UV	F	1	Y	1034.430493	2801.479467	23.25064439	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0108	2	2016_7755_7756	7755_7756	7755_7756	2016	2-Jun-16	picnic_lower	UV	F	1	Y	897.4335779	2656.7897	23.14942266	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0109	2	2016_7371_7372	7371_7372	7371_7372	2016	26-Jun-16	mm_aspen	UV	F	1	Y	910.4541306	2565.341814	21.77483794	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0110	2	2016_7565_7355	7565_7355	7565_7355	2016	26-Jul-16	picnic_lower	UV	F	2	A	1890.038059	3024.190765	14.92306192	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0111	2	2016_8007_8008	8007_8008	8007_8008	2016	12-Jul-16	picnic_lower	UV	F	1	Y	471.801394	1796.261508	17.42710676	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0112	2	2016_7755_7756	7755_7756	7755_7756	2016	26-Jul-16	picnic_lower	UV	F	1	Y	897.4335779	2656.7897	23.14942266	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0113	2	2016_7701_7702	7701_7702	7701_7702	2016	15-Jun-16	picnic_lower	UV	F	1	Y	988.5530255	2641.843826	21.75382632	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0114	2	2016_7701_7702	7701_7702	7701_7702	2016	28-Jul-16	picnic_lower	UV	F	1	Y	988.5530255	2641.843826	21.75382632	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0115	2	2016_7733_7734	7733_7734	7733_7734	2016	26-Jun-16	mm_aspen	UV	F	1	Y	742.0575854	2324.90454	20.82693361	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0116	2	2016_7456_7457	7456_7457	7456_7457	2016	15-Jun-16	picnic_lower	UV	F	1	Y	765.9237638	2643.654288	24.70698058	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0117	2	2016_7652_7619	7652_7619	7652_7619	2016	3-Jun-16	northpk	UV	F	2	A	2034.369718	3129.939179	14.41538764	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0118	2	2016_7390_7391	7390_7391	7390_7391	2016	7-Jun-16	rvannex	DV	F	1	Y	951.51679	2436.40244	19.53796908	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0119	2	2016_7652_7619	7652_7619	7652_7619	2016	22-Jul-16	northpk	UV	F	2	A	2034.369718	3129.939179	14.41538764	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0120	2	2016_7371_7372	7371_7372	7371_7372	2016	15-Jul-16	mm_aspen	UV	F	1	Y	910.4541306	2565.341814	21.77483794	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0121	2	2016_7733_7734	7733_7734	7733_7734	2016	12-Jun-16	mm_aspen	UV	F	1	Y	742.0575854	2324.90454	20.82693361	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0122	2	2016_6633_6635	6633_6635	6633_6635	2016	17-Jul-16	stonefield_main	UV	F	2	A	2003.461985	3145.487011	15.02664508	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0123	2	2016_7131_7126	7131_7126	7131_7126	2016	2-Jun-16	picnic_lower	UV	F	4	A	2301.968939	3499.016875	15.75063074	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0124	2	2016_7640_7641	7640_7641	7640_7641	2016	26-Jul-16	picnic_lower	UV	F	1	Y	968.9460076	2711.003464	22.92180864	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0125	2	2016_7131_7126	7131_7126	7131_7126	2016	12-Jul-16	picnic_lower	UV	F	4	A	2301.968939	3499.016875	15.75063074	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0126	2	2016_6127_7339	6127_7339	6127_7339	2016	13-Jul-16	picnic_lower	UV	F	4	A	2756.186447	4086.688931	17.50661163	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0127	2	2016_8084_8085	8084_8085	8084_8085	2016	21-Jun-16	mm_aspen	UV	F	0	P	434.8928282	1722.956536	16.94820668	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0128	2	2016_8084_8085	8084_8085	8084_8085	2016	20-Jul-16	mm_aspen	UV	F	0	P	434.8928282	1722.956536	16.94820668	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0129	2	2016_7467_7353	7467_7353	7467_7353	2016	7-Jun-16	rvannex	DV	F	1	Y	1215.07902	2893.446656	22.08378468	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0130	2	2016_7565_7355	7565_7355	7565_7355	2016	16-Jun-16	picnic_lower	UV	F	2	A	1890.038059	3024.190765	14.92306192	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0131	2	2016_7407_7412	7407_7412	7407_7412	2016	1-Aug-16	cliff_upper	UV	F	3	A	2654.394658	3062.118713	5.364790197	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0132	2	2016_7640_7641	7640_7641	7640_7641	2016	29-Jun-16	picnic_lower	UV	F	1	Y	968.9460076	2711.003464	22.92180864	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0133	2	2016_7880_7885	7880_7885	7880_7885	2016	11-Jul-16	gothictown	DV	F	2	A	2275.385216	2943.368998	8.789260289	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0134	2	2016_7390_7391	7390_7391	7390_7391	2016	20-Jul-16	rvannex	DV	F	1	Y	951.51679	2436.40244	19.53796908	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0135	2	2016_7456_7457	7456_7457	7456_7457	2016	13-Jul-16	picnic_lower	UV	F	1	Y	765.9237638	2643.654288	24.70698058	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0136	2	2017_8476_8478	8476_8478	8476_8478	2017	16-Jul-17	mm_maintalus	UV	F	0	P	359.08351	1514.367057	15.2010993	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0137	2	2017_7753_7754	7753_7754	7753_7754	2017	18-Jul-17	picnic_lower	UV	F	2	A	1660.477152	3362.649545	22.39700517	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0138	2	2017_8146_8147	8146_8147	8146_8147	2017	7-Jul-17	northpk	UV	F	1	Y	930.0147883	2516.45174	20.87417042	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0139	2	2017_6647_6634	6647_6634	6647_6634	2017	7-Jun-17	picnic_lower	UV	F	4	A	2345.674548	3415.246372	14.07331347	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0140	2	2017_7753_7754	7753_7754	7753_7754	2017	9-Jun-17	picnic_lower	UV	F	2	A	1660.477152	3362.649545	22.39700517	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0141	2	2017_8203_8206	8203_8206	8203_8206	2017	3-Jul-17	northpk	UV	F	1	Y	720.2271351	2305.501011	20.85886679	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0142	2	2017_8491_8492	8491_8492	8491_8492	2017	21-Jul-17	mm_maintalus	UV	F	0	P	430.9391399	1756.771873	17.44516754	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0143	2	2017_7827_7831	7827_7831	7827_7831	2017	6-Jul-17	gothictown	DV	F	0	P	356.218672	1611.435266	16.51600782	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0144	2	2017_6647_6634	6647_6634	6647_6634	2017	20-Jul-17	picnic_lower	UV	F	4	A	2345.674548	3415.246372	14.07331347	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0145	2	2017_7131_7126	7131_7126	7131_7126	2017	6-Jul-17	picnic_lower	UV	F	5	A	2468.44171	3617.318637	15.11680167	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0146	2	2017_7365_7368	7365_7368	7365_7368	2017	8-Jun-17	picnic_lower	UV	F	3	A	2170.87263	3010.029091	11.04153238	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0147	2	2017_8203_8206	8203_8206	8203_8206	2017	20-Jul-17	northpk	UV	F	1	Y	720.2271351	2305.501011	20.85886679	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0148	2	2017_7467_7353	7467_7353	7467_7353	2017	14-Jun-17	rvannex	DV	F	2	A	2099.423732	3780.232703	22.11590751	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0149	2	2017_7365_7368	7365_7368	7365_7368	2017	6-Jul-17	picnic_lower	UV	F	3	A	2170.87263	3010.029091	11.04153238	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0150	2	2017_7880_7885	7880_7885	7880_7885	2017	23-Jul-17	gothictown	DV	F	3	A	2591.417226	3447.938193	11.27001272	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0151	2	2017_7390_7391	7390_7391	7390_7391	2017	28-May-17	rvannex	DV	F	2	A	1915.044991	3303.129078	18.2642643	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0152	2	2017_7565_7355	7565_7355	7565_7355	2017	21-Jun-17	picnic_lower	UV	F	3	A	2178.710244	3163.565847	12.95862636	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0153	2	2017_7390_7391	7390_7391	7390_7391	2017	10-Jul-17	rvannex	DV	F	2	A	1915.044991	3303.129078	18.2642643	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0154	2	2017_8089_8088	8089_8088	8089_8088	2017	5-Jun-17	mm_aspen	UV	F	1	Y	1032.037261	2888.025669	24.42090011	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0155	2	2017_8089_8088	8089_8088	8089_8088	2017	16-Jul-17	mm_aspen	UV	F	1	Y	1032.037261	2888.025669	24.42090011	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0156	2	2017_7828_7874	7828_7874	7828_7874	2017	30-Jul-17	gothictown	DV	F	0	P	334.696859	1571.536551	16.27420647	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0157	2	2017_8209_8101	8209_8101	8209_8101	2017	9-Jun-17	picnic_middle	UV	F	1	Y	733.2754038	2473.644323	22.89959104	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0158	2	2017_8209_8101	8209_8101	8209_8101	2017	20-Jul-17	picnic_middle	UV	F	1	Y	733.2754038	2473.644323	22.89959104	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0159	2	2017_7131_7126	7131_7126	7131_7126	2017	8-Jun-17	picnic_lower	UV	F	5	A	2468.44171	3617.318637	15.11680167	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0160	2	2017_7623_7612	7623_7612	7623_7612	2017	21-Jun-17	picnic_lower	UV	F	3	A	2052.214217	2880.718449	10.90137147	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0161	2	2017_8476_8478	8476_8478	8476_8478	2017	5-Jul-17	mm_maintalus	UV	F	0	P	359.08351	1514.367057	15.2010993	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0162	2	2017_7780_7781	7780_7781	7780_7781	2017	8-Jun-17	picnic_lower	UV	F	2	A	1906.753604	4019.654495	27.80132751	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0163	2	2017_7701_7702	7701_7702	7701_7702	2017	6-Jul-17	picnic_lower	UV	F	2	A	1883.258439	3611.239731	22.73659595	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0164	2	2017_7467_7353	7467_7353	7467_7353	2017	29-Jun-17	rvannex	DV	F	2	A	2099.423732	3780.232703	22.11590751	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0165	2	2017_7880_7885	7880_7885	7880_7885	2017	30-Jun-17	gothictown	DV	F	3	A	2591.417226	3447.938193	11.27001272	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0166	2	2017_8146_8147	8146_8147	8146_8147	2017	22-Jun-17	northpk	UV	F	1	Y	930.0147883	2516.45174	20.87417042	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0167	2	2017_7780_7781	7780_7781	7780_7781	2017	17-Jul-17	picnic_lower	UV	F	2	A	1906.753604	4019.654495	27.80132751	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0168	2	2017_7783_7793	7783_7793	7783_7793	2017	21-Jun-17	picnic_lower	UV	F	2	A	2052.588125	4085.850607	26.75345371	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0169	2	2017_7565_7355	7565_7355	7565_7355	2017	17-Jul-17	picnic_lower	UV	F	3	A	2178.710244	3163.565847	12.95862636	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0170	2	2017_7701_7702	7701_7702	7701_7702	2017	9-Jun-17	picnic_lower	UV	F	2	A	1883.258439	3611.239731	22.73659595	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0171	2	2017_7828_7874	7828_7874	7828_7874	2017	16-Jul-17	gothictown	DV	F	0	P	334.696859	1571.536551	16.27420647	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0172	2	2017_7783_7793	7783_7793	7783_7793	2017	2-Jul-17	picnic_lower	UV	F	2	A	2052.588125	4085.850607	26.75345371	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0173	2	2017_7310_7303	7310_7303	7851_7303	2017	25-May-17	gothictown	DV	F	3	A	2494.369821	3208.569272	9.397361197	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0174	2	2017_7310_7303	7310_7303	7851_7303	2017	25-Jun-17	gothictown	DV	F	3	A	2494.369821	3208.569272	9.397361197	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0175	2	2017_8491_8492	8491_8492	8491_8492	2017	16-Jul-17	mm_maintalus	UV	F	0	P	430.9391399	1756.771873	17.44516754	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0176	2	2017_7623_7612	7623_7612	7623_7612	2017	6-Jul-17	picnic_lower	UV	F	3	A	2052.214217	2880.718449	10.90137147	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0177	2	2018_7712_7379	7712_7379	7712_7379	2018	6-Jun-18	gothictown	DV	F	1	Y	1817.409223	3123.947885	17.19129818	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0178	2	2018_7467_7353	7467_7353	7467_7353	2018	11-May-18	rvannex	DV	F	3	A	2719.744997	3791.836341	14.10646505	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0179	2	2018_8203_8206	8203_8206	8203_8206	2018	26-Jul-18	northpk	UV	F	2	A	2038.480262	3367.89017	17.49223563	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0180	2	2018_7365_7368	7365_7368	7365_7368	2018	24-Jun-18	picnic_lower	UV	F	4	A	2540.825294	3413.578222	11.48359116	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0181	2	2018_6127_7339	6127_7339	6127_7339	2018	16-May-18	picnic_lower	UV	F	6	A	3189.585581	3968.002502	10.24232791	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0182	2	2018_7269_7497	7269_7497	7269_7497	2018	21-May-18	gothictown	DV	F	1	Y	2037.503807	3403.440074	17.97284562	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0183	2	2018_6794_6799	6794_6799	8322_7447	2018	31-May-18	picnic_lower	UV	F	9	A	3096.71539	4358.631949	16.60416525	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0184	2	2018_6794_6799	6794_6799	8322_7447	2018	10-Jul-18	picnic_lower	UV	F	9	A	3096.71539	4358.631949	16.60416525	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0185	2	2018_8203_8206	8203_8206	8203_8206	2018	1-Jun-18	northpk	UV	F	2	A	2038.480262	3367.89017	17.49223563	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0186	2	2018_7390_7391	7390_7391	7390_7391	2018	24-May-18	rvannex	DV	F	3	A	2368.073964	3052.442828	9.004853474	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0187	2	2018_8246_8319	8246_8319	8246_8319	2018	31-May-18	picnic_lower	UV	F	1	Y	1376.910449	2930.008649	20.43550263	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0189	2	2018_7131_7126	7131_7126	7131_7126	2018	25-Jul-18	picnic_lower	UV	F	6	A	2803.995283	3539.68294	9.68010075	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0188	2	2018_8146_8147	8146_8147	8146_8147	2018	14-Jun-18	northpk	UV	F	2	A	2193.855144	3488.455754	17.03421855	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0190	2	2018_8146_8147	8146_8147	8146_8147	2018	27-Jul-18	northpk	UV	F	2	A	2193.855144	3488.455754	17.03421855	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0191	2	2018_7131_7126	7131_7126	7131_7126	2018	16-May-18	picnic_lower	UV	F	6	A	2803.995283	3539.68294	9.68010075	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0192	2	2018_7565_7355	7565_7355	7565_7355	2018	16-May-18	picnic_lower	UV	F	4	A	2478.262663	3387.708647	11.96639453	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0193	2	2018_8476_8478	8476_8478	8476_8478	2018	27-Jun-18	mm_maintalus	UV	F	1	Y	1497.203403	2868.513955	18.04355989	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0194	2	2018_7310_7303	7310_7303	7851_7303	2018	7-May-18	gothictown	DV	F	4	A	2640.426584	3594.203475	12.54969593	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0195	2	2018_7467_7353	7467_7353	7467_7353	2018	15-Jul-18	rvannex	DV	F	3	A	2719.744997	3791.836341	14.10646505	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0196	2	2018_7828_7874	7828_7874	7828_7874	2018	5-Jul-18	gothictown	DV	F	1	Y	2123.480415	3358.898488	16.25550096	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0197	2	2018_7565_7355	7565_7355	7565_7355	2018	24-Jun-18	picnic_lower	UV	F	4	A	2478.262663	3387.708647	11.96639453	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0198	2	2018_6127_7339	6127_7339	6127_7339	2018	24-Jun-18	picnic_lower	UV	F	6	A	3189.585581	3968.002502	10.24232791	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
