sample_name	run	year_uid	uid	curid	year	date	col_area	valley_position	sex	age	ageclass	massjun	massaug	mgr	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	strain	*isol_growth_condt
Sample193	4	2019_8904_8919	8904_8919	8904_8919	2019	14-Jun-19	rvannex	DV	M	1	Y	875.4710995	2796.693666	25.2792443	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample194	3	2019_8922_8901	8922_8901	8922_8901	2019	2-Jul-19	picnic_lower	UV	M	1	Y	719.606203	2434.119082	22.55937999	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample195	4	2019_8927_8926	8927_8926	8927_8926	2019	13-Jun-19	rvannex	DV	M	1	Y	987.1073875	2921.786315	25.45630168	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample196	3	2019_8977_8914	8977_8914	8977_8914	2019	13-Jun-19	rvannex	DV	M	1	Y	872.4772031	2751.747924	24.72724633	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample197	4	BLANK_1													marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample198	3	BLANK_2													marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample199	3	(-) control PCR													marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample200	3	2019_8943_8950	8943_8950	8943_8950	2019	25-Aug-19	rvannex	DV	F	1	Y	804.5855607	2145.442581	17.64285553	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
1-Mar	1	2015_7131_7126	7131_7126	7131_7126	2015	22-Jun-15	picnic_lower	UV	F	3	A	2337.438442	2972.566291	8.356945382	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
10-Mar	1	2017_8005_8009	8005_8009	8005_8009	2017	15-May-17	gothictown	DV	F	3	A	2557.09052	3375.905873	10.77388622	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
11-Mar	1	2017_8005_8009	8005_8009	8005_8009	2017	25-Jun-17	gothictown	DV	F	3	A	2557.09052	3375.905873	10.77388622	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
12-Mar	1	2017_8111_8107	8111_8107	8111_8107	2017	11-Jun-17	gothictown	DV	F	1	Y	1455.320441	3289.547877	24.13457153	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
13-Mar	1	2018_8476_8478	8476_8478	8476_8478	2018	28-May-18	mm_maintalus	UV	F	1	Y	1497.203403	2868.513955	18.04355989	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
14-Mar	1	2018_7828_7874	7828_7874	7828_7874	2018	21-May-18	gothictown	DV	F	1	Y	2123.480415	3358.898488	16.25550096	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
15-Mar	1	2018_8497_8488	8497_8488	8497_8488	2018	28-May-18	mm_maintalus	UV	F	1	Y	1488.602567	3092.404317	21.10265461	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
16-Mar	1	2018_8491_8492	8491_8492	8491_8492	2018	28-May-18	mm_maintalus	UV	F	1	Y	1576.326927	3346.13016	23.28688464	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
17-Mar	1	2016_7279_7197	7279_7197	7279_7197	2016	2-Jun-16	picnic_lower	UV	F	3	A	2411.507524	3304.292641	11.74717259	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
18-Mar	1	2016_6835_6898	6835_6898	6835_6898	2016	14-Jun-16	boulder	UV	F	6	A	3031.996445	3766.739805	9.667675789	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
19-Mar	1	2018_7830_7849	7830_7849	7830_7849	2018	22-May-18	gothictown	DV	F	1	Y	2208.509843	3479.12259	16.71858878	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
2-Mar	1	2015_7365_7368	7365_7368	7365_7368	2015	28-May-15	picnic_lower	UV	F	1	Y	880.9368182	2349.985683	19.32959033	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
20-Mar	1	2018_7187_7189	7187_7189	7187_7189	2018	18-Jun-18	gothictown	DV	F	6	A	3405.940742	4400.360208	13.08446666	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
21-Mar	1	2018_6385_6342	6385_6342	6385_6342	2018	27-Jun-18	mm_maintalus	UV	F	8	A	3100.917531	3983.362131	11.61111316	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
22-Mar	1	2015_6609_7388	6609_7388	6609_7388	2015	25-Jun-15	boulder	UV	F	1	Y	1521.455862	3217.059295	22.31057149	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
23-Mar	1	2015_6609_7388	6609_7388	6609_7388	2015	9-Jul-15	boulder	UV	F	1	Y	1521.455862	3217.059295	22.31057149	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
3-Mar	1	2015_7365_7368	7365_7368	7365_7368	2015	20-Jul-15	picnic_lower	UV	F	1	Y	880.9368182	2349.985683	19.32959033	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
4-Mar	1	2016_7755_7756	7755_7756	7755_7756	2016	16-Jun-16	picnic_lower	UV	F	1	Y	897.4335779	2656.7897	23.14942266	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
5-Mar	1	2016_7783_7793	7783_7793	7783_7793	2016	15-Jun-16	picnic_lower	UV	F	1	Y	1034.430493	2801.479467	23.25064439	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
6-Mar	1	2016_7640_7641	7640_7641	7640_7641	2016	3-Jun-16	picnic_lower	UV	F	1	Y	968.9460076	2711.003464	22.92180864	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
